Gradation,d,Sf,DEPTH,width,n,SPEC.,uavg,g,lambda
1.31,0.00017,0.0001,2.1153,146.603,7.39E-07,2.65,0.391273908,9.81,0.108397344
1.5,0.000195,0.0000451,1.463,124.968,9.66E-07,2.65,0.376983387,9.81,0.03642377
1.59,0.000128,0.0001418,0.9144,86.258,8.90E-07,2.65,0.348600884,9.81,0.083707415
1.44,0.000241,0.0000862,1.8593,125.578,9.33E-07,2.65,0.471649836,9.81,0.056523079
1,0.00002,0.0000877,2.3805,16.026,5.94E-07,2.65,0.509830237,9.81,0.063012259
1,0.000024,0.0000877,2.3652,15.95,5.94E-07,2.65,0.509575867,9.81,0.062669785
1.56,0.000154,0.000124,0.9144,85.649,9.47E-07,2.65,0.367350056,9.81,0.06591832
1.31,0.000055,0.0000854,1.6764,35.662,1.31E-06,2.65,0.494968762,9.81,0.045844621
1.58,0.000155,0.00008,2.6396,153.28,8.71E-07,2.65,0.57956741,9.81,0.049320633
1.41,0.000313,0.000073,1.4874,130.539,8.02E-07,2.65,0.473980182,9.81,0.037917415
1.68,0.00028,0.000133,1.905,95.732,8.48E-07,2.65,0.530719003,9.81,0.070570922
1.26,0.000116,0.0000715,2.3165,35.662,1.08E-06,2.65,0.588541641,9.81,0.037513916
1,0.000033,0.0001145,0.9449,5.343,5.94E-07,2.65,0.399394232,9.81,0.053210361
1,0.000036,0.0001646,0.7925,4.307,5.94E-07,2.65,0.379366287,9.81,0.071108265
1,0.000033,0.00007,2.5207,17.983,5.94E-07,2.65,0.610486582,9.81,0.037142865
1,0.000039,0.00007,2.5116,17.892,5.94E-07,2.65,0.612034139,9.81,0.036821855
1.29,0.000146,0.0001424,1.4935,94.793,1.16E-06,2.65,0.524840144,9.81,0.060571674
1.25,0.000169,0.000108,1.7983,46.33,1.33E-06,2.65,0.574050469,9.81,0.046237484
1.61,0.00026,0.000147,1.9934,96.287,7.80E-07,2.65,0.581713985,9.81,0.067936196
1.48,0.00028,0.000113,2.0086,99.95,8.48E-07,2.65,0.588736567,9.81,0.051373402
1.25,0.00011,0.0000753,2.286,35.662,1.35E-06,2.65,0.639464945,9.81,0.033025254
1.25,0.000122,0.0000872,2.4689,35.966,1.25E-06,2.65,0.656926016,9.81,0.039137719
1,0.000046,0.00012,2.2433,18.072,5.94E-07,2.65,0.606537776,9.81,0.057406536
1.26,0.000195,0.000134,3.5936,162.431,9.86E-07,2.65,0.759207612,9.81,0.06554233
1,0.000036,0.00008,1.8501,13.493,5.94E-07,2.65,0.565108134,9.81,0.036360556
1.17,0.000156,0.0001504,2.1641,47.549,9.06E-07,2.65,0.619718687,9.81,0.066488177
1.25,0.000144,0.000116,2.3165,46.634,1.25E-06,2.65,0.651644443,9.81,0.04964521
1,0.000082,0.0000567,3.3924,66.547,5.94E-07,2.65,0.725227322,9.81,0.028691301
1.49,0.00029,0.00006,1.5088,130.541,8.02E-07,2.65,0.534821718,9.81,0.024829805
1,0.00008,0.0000567,3.4107,66.544,5.94E-07,2.65,0.732971391,9.81,0.028239759
1.46,0.000152,0.0000882,0.762,93.269,9.21E-07,2.65,0.414766151,9.81,0.030649641
1,0.000037,0.00008,1.7191,14.658,5.94E-07,2.65,0.556912524,9.81,0.034787691
1,0.00003,0.00008,2.3652,20.565,5.94E-07,2.65,0.634398388,9.81,0.036884353
1.19,0.000156,0.0001123,2.347,46.634,1.25E-06,2.65,0.663873927,9.81,0.046916982
1.2,0.000127,0.0000735,2.5298,35.662,1.25E-06,2.65,0.684241608,9.81,0.03115753
1.41,0.00029,0.00008,2.4384,139.332,1.04E-06,2.65,0.666774543,9.81,0.034422734
1.32,0.000113,0.0000766,2.347,35.662,1.25E-06,2.65,0.664796379,9.81,0.031913396
1.23,0.000148,0.0001124,2.3165,46.634,1.22E-06,2.65,0.665799383,9.81,0.046080829
1.52,0.000108,0.0001321,1.8288,69.494,1.19E-06,2.65,0.605370173,9.81,0.051717252
1,0.000039,0.0001145,1.1003,5.782,5.94E-07,2.65,0.471789666,9.81,0.044404624
1.49,0.00026,0.0002,1.9355,134.736,8.02E-07,2.65,0.603404253,9.81,0.083409379
1.27,0.000121,0.000073,2.2555,35.357,1.08E-06,2.65,0.655478329,9.81,0.030064741
1.49,0.000268,0.0001161,3.81,125.882,5.94E-07,2.65,0.78324247,9.81,0.056568308
1.54,0.000285,0.0001,1.6825,132.522,7.80E-07,2.65,0.572744906,9.81,0.040238432
1,0.000043,0.00008,1.8593,13.551,5.94E-07,2.65,0.587777019,9.81,0.033777127
1.42,0.000133,0.0000859,1.7678,127.406,1.21E-06,2.65,0.605240255,9.81,0.032522141
1.23,0.00015,0.0001155,2.3165,46.634,1.12E-06,2.65,0.672614767,9.81,0.046397004
1,0.001038,0.00022,0.3341,0.78,7.80E-07,2.65,0.306978565,9.81,0.061191557
1,0.000043,0.0001446,0.6706,4.349,5.94E-07,2.65,0.394965861,9.81,0.048766453
1.24,0.000147,0.0001104,2.1641,46.634,1.49E-06,2.65,0.670879251,9.81,0.041645313
1.23,0.000142,0.0000952,2.4384,46.939,1.03E-06,2.65,0.691740364,9.81,0.03805959
1.25,0.000144,0.0001088,1.9202,46.33,1.28E-06,2.65,0.638509128,9.81,0.040202179
1.39,0.000202,0.0000975,4.2367,121.92,1.19E-06,2.65,0.873892084,9.81,0.042435094
1.33,0.000147,0.0001343,2.1031,70.409,1.16E-06,2.65,0.658023458,9.81,0.051175446
1.43,0.000169,0.0000876,3.4138,119.786,8.62E-07,2.65,0.786230112,9.81,0.037953452
1.28,0.000136,0.0000861,2.1946,35.662,9.40E-07,2.65,0.663202659,9.81,0.033703458
1.48,0.000315,0.000107,1.9111,104.857,8.48E-07,2.65,0.623446756,9.81,0.041274032
1.24,0.000152,0.0001121,2.1336,46.939,1.28E-06,2.65,0.670109948,9.81,0.041786398
1.34,0.000138,0.0000756,2.286,35.966,1.10E-06,2.65,0.684688292,9.81,0.02892149
1.25,0.000112,0.0000674,2.2555,35.357,1.03E-06,2.65,0.678913672,9.81,0.025875102
1.23,0.000148,0.0001145,2.3165,46.634,1.31E-06,2.65,0.697606634,9.81,0.042758753
1.46,0.000205,0.000127,2.4262,140.223,1.09E-06,2.65,0.702825052,9.81,0.048937784
1.22,0.000123,0.0000856,2.1946,35.357,9.28E-07,2.65,0.668558771,9.81,0.032972996
1.17,0.000155,0.0001136,2.286,46.634,1.20E-06,2.65,0.696198231,9.81,0.042033657
1.25,0.000143,0.0001153,2.1946,46.634,1.28E-06,2.65,0.688117568,9.81,0.041924495
1.6,0.0002,0.000073,2.9078,146.969,1.20E-06,2.65,0.768621531,9.81,0.028188421
1.24,0.000164,0.0001023,2.1641,46.939,1.13E-06,2.65,0.681015261,9.81,0.037449646
1.23,0.000145,0.0001107,2.2555,46.634,1.31E-06,2.65,0.699689561,9.81,0.040011802
1,0.000066,0.000065,3.2918,51.505,5.94E-07,2.65,0.77493749,9.81,0.02795258
1.2,0.000152,0.0001071,2.286,46.634,1.23E-06,2.65,0.702041626,9.81,0.038971616
1,0.000064,0.000065,3.2918,51.901,5.94E-07,2.65,0.777312137,9.81,0.027782054
1.25,0.000112,0.0000848,2.225,35.966,1.05E-06,2.65,0.68930543,9.81,0.031153792
1.19,0.000159,0.0001243,2.1336,46.634,1.13E-06,2.65,0.681892287,9.81,0.044746701
1,0.000039,0.00008,2.3835,20.577,5.94E-07,2.65,0.687905224,9.81,0.03161232
1.45,0.000285,0.0001,1.908,134.579,8.71E-07,2.65,0.64678076,9.81,0.035782661
1,0.000082,0.0001,1.9385,10.701,5.94E-07,2.65,0.635829199,9.81,0.037617794
1.49,0.00024,0.000087,2.923,141.753,1.16E-06,2.65,0.783875802,9.81,0.032468483
1,0.000066,0.00012,1.5667,17.313,5.94E-07,2.65,0.583841292,9.81,0.043269903
1.36,0.0002,0.000153,2.6213,142.122,1.18E-06,2.65,0.7509719,9.81,0.055791653
1,0.000064,0.00012,1.5667,17.34,5.94E-07,2.65,0.5842663,9.81,0.043206975
1.75,0.000195,0.0000819,2.4994,120.701,1.31E-06,2.65,0.743964644,9.81,0.029015063
1.28,0.000364,0.0000788,4.2977,123.444,9.54E-07,2.65,0.908390974,9.81,0.032197722
1.37,0.000279,0.000107,3.7186,122.225,8.83E-07,2.65,0.852983455,9.81,0.042903278
1.31,0.000208,0.0000927,4.0843,120.396,1.08E-06,2.65,0.897416701,9.81,0.03688226
1.19,0.000147,0.0001099,1.6764,46.634,1.28E-06,2.65,0.634960143,9.81,0.035850141
1.18,0.000161,0.000104,2.286,46.33,1.08E-06,2.65,0.711193275,9.81,0.036875909
1.24,0.000142,0.0001155,2.225,46.634,1.35E-06,2.65,0.71419356,9.81,0.039526521
1,0.00008,0.0001,1.966,10.577,5.94E-07,2.65,0.64504331,9.81,0.037069285
1.27,0.000132,0.0000853,2.1641,35.357,9.52E-07,2.65,0.69167403,9.81,0.030271355
1.28,0.000195,0.000144,2.8194,157.903,0.000001,2.65,0.771921929,9.81,0.053454082
1.25,0.000193,0.0001479,2.1641,49.073,1.42E-06,2.65,0.712727625,9.81,0.049431838
1.51,0.00027,0.000157,2.0086,136.166,8.96E-07,2.65,0.671935205,9.81,0.054795736
1.36,0.000272,0.0001115,3.5662,120.091,8.81E-07,2.65,0.847385851,9.81,0.043443679
1.22,0.000124,0.0000892,2.1946,35.662,9.06E-07,2.65,0.699383973,9.81,0.031397663
1,0.000024,0.00006,3.368,56.022,5.94E-07,2.65,0.812192191,9.81,0.024033342
1.25,0.000129,0.0000853,2.1946,35.357,8.41E-07,2.65,0.700672953,9.81,0.029914527
1,0.00002,0.00006,3.3894,56.272,5.94E-07,2.65,0.818176229,9.81,0.023833554
1.5,0.000167,0.0001042,1.3411,99.67,1.15E-06,2.65,0.590413056,9.81,0.031450346
1.22,0.000147,0.0001091,2.2555,46.634,1.31E-06,2.65,0.734687493,9.81,0.03576603
1.63,0.000225,0.00006,2.8529,146.538,1.15E-06,2.65,0.803327627,9.81,0.020809462
1.22,0.000149,0.0001083,2.2555,46.33,1.31E-06,2.65,0.737882595,9.81,0.035196964
1.29,0.000179,0.0001369,2.1641,71.018,1.16E-06,2.65,0.720403645,9.81,0.044785499
1,0.001038,0.0004,0.2216,0.78,8.19E-07,2.65,0.289259928,9.81,0.083111601
1,0.001038,0.00042,0.3106,0.78,7.80E-07,2.65,0.330204567,9.81,0.093862699
1,0.00003,0.00007,3.3498,56.467,5.94E-07,2.65,0.832174851,9.81,0.026564166
1.24,0.000175,0.00017,3.3132,160.672,9.33E-07,2.65,0.85343353,9.81,0.06066883
1.26,0.000222,0.0000606,3.81,113.081,1.19E-06,2.65,0.917125905,9.81,0.021535161
1,0.000039,0.00007,3.3528,56.61,5.94E-07,2.65,0.834402395,9.81,0.026446186
1.39,0.000223,0.0001123,2.0422,124.358,1.03E-06,2.65,0.707018279,9.81,0.035993592
1,0.001038,0.00036,0.2813,0.78,7.70E-07,2.65,0.31901793,9.81,0.078063945
1.72,0.00028,0.000207,3.0846,149.087,1.15E-06,2.65,0.842965306,9.81,0.070494989
1,0.000057,0.0000642,3.5601,79.096,5.94E-07,2.65,0.860069282,9.81,0.024240345
1.39,0.000331,0.0001075,3.6576,121.92,5.94E-07,2.65,0.870203853,9.81,0.040735319
1.79,0.00027,0.000127,2.9566,146.21,1.13E-06,2.65,0.830932406,9.81,0.042665157
1.46,0.000225,0.000067,2.5786,142.096,1.12E-06,2.65,0.788277617,9.81,0.02181267
1,0.00005,0.0001116,2.1671,18.169,5.94E-07,2.65,0.708294248,9.81,0.03782023
