,,predicted y using no of features according to heat map,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.046980156,,0.057943007,0.085344772,0.084245279,0.075784792,0.068741327,0.058973341,0.068741327,0.068867527,0.057851498
0.136728161,,0.085697778,0.085344772,0.092010692,0.082851177,0.08913075,0.084775561,0.085339174,0.084247693,0.093777239
0.038831203,,0.078004144,0.084467439,0.090928765,0.082851177,0.069591528,0.069591528,0.069591528,0.069591528,0.073475029
0.049320633,,0.063376993,0.045281563,0.053897003,0.037447303,0.061468578,0.049271942,0.048489614,0.042018972,0.057851498
0.048562099,,0.085697778,0.086067797,0.087211169,0.07208366,0.078396254,0.079439348,0.074647155,0.073139119,0.077846429
0.044832058,,0.078004144,0.084467439,0.08908639,0.082851177,0.069591528,0.069591528,0.069591528,0.069591528,0.070993757
0.065697229,,0.085697778,0.085344772,0.085327567,0.082851177,0.08913075,0.084775561,0.085339174,0.084247693,0.093091685
0.082283252,,0.077050909,0.10225543,0.099998047,0.082851177,0.08913075,0.088200131,0.087018184,0.084247693,0.086759985
0.09717251,,0.10883094,0.123075456,0.12082565,0.075784792,0.069591528,0.069591528,0.071580238,0.069591528,0.073622517
0.055603574,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.024240345,,0.085697778,0.044952663,0.068079522,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.046066064
0.073329816,,0.084180528,0.084467439,0.09263554,0.082514018,0.0785703,0.071217671,0.085737503,0.069591528,0.077846429
0.069104602,,0.085697778,0.085344772,0.085133835,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.077846429
0.141988845,,0.085697778,0.085344772,0.092745198,0.082851177,0.08913075,0.084775561,0.085339174,0.084247693,0.093777239
0.057265863,,0.085697778,0.085344772,0.085327567,0.082851177,0.070387544,0.084775561,0.074647155,0.084247693,0.093091685
0.05453061,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.069625009,,0.085697778,0.085344772,0.084744281,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.073622517
0.102152507,,0.063376993,0.101651498,0.108385415,0.083177387,0.089768985,0.089720138,0.088385016,0.087769987,0.093777239
0.047506363,,0.057943007,0.039514197,0.053176414,0.048759201,0.046841729,0.049108531,0.042598107,0.042391055,0.052913623
0.046237484,,0.057943007,0.039514197,0.053176414,0.05460054,0.042641914,0.049108531,0.042010331,0.042018972,0.052913623
