,,predicted y test using no of feature according to heatmap,,,,,,,,
actual y tes,,1,2,3,4,5,6,7,8,predicted y usong all features
0.046980156,,0.044864969,0.041973538,0.036475889,0.039187258,0.048490184,0.045938446,0.047625539,0.046797375,0.046797375
0.136728161,,0.071231452,0.07825688,0.105642485,0.121305629,0.121006675,0.117921785,0.118613822,0.131577415,0.131577415
0.038831203,,0.058884751,0.054930046,0.057825549,0.053001107,0.049640851,0.050095912,0.051011399,0.047878888,0.047878888
0.049320633,,0.073720324,0.057419839,0.039628486,0.028586877,0.052049326,0.05931895,0.060684526,0.058459453,0.058459453
0.048562099,,0.071231452,0.074006876,0.06648081,0.061416079,0.060741857,0.055944067,0.059180673,0.049158757,0.049158757
0.044832058,,0.058884751,0.054930046,0.053087027,0.050070588,0.048967339,0.049173187,0.048244488,0.050074168,0.050074168
0.065697229,,0.071231452,0.064159127,0.060979934,0.060461583,0.060512994,0.061000054,0.061818958,0.0636452,0.0636452
0.082283252,,0.077670816,0.083679113,0.079440302,0.081266389,0.080800359,0.080265819,0.080687951,0.081339611,0.081339611
0.09717251,,0.090036362,0.104634972,0.107319196,0.100945143,0.109675897,0.103616686,0.10426442,0.107100009,0.107100009
0.055603574,,0.073862881,0.074300333,0.062469065,0.056215613,0.054344201,0.054310415,0.055713744,0.054652219,0.054652219
0.024240345,,0.071231452,0.041740697,0.028260829,0.027355752,0.026754255,0.025815851,0.026386506,0.023442913,0.023442913
0.073329816,,0.079913056,0.073720306,0.092874918,0.093552062,0.078602042,0.078246672,0.08078957,0.078052137,0.078052137
0.069104602,,0.071231452,0.07825688,0.070916542,0.073107851,0.072892178,0.068408507,0.068350377,0.069140825,0.069140825
0.141988845,,0.071231452,0.07825688,0.115258072,0.118140805,0.117590542,0.114828893,0.11566306,0.128471835,0.128471835
0.057265863,,0.071231452,0.064159127,0.063361931,0.059224935,0.0592747,0.059939364,0.059614583,0.058225475,0.058225475
0.05453061,,0.073862881,0.074300333,0.054395556,0.054371471,0.05368042,0.054067058,0.05454983,0.055986524,0.055986524
0.069625009,,0.071231452,0.07825688,0.061911482,0.064725303,0.065630048,0.061887783,0.064944337,0.067931206,0.067931206
0.102152507,,0.076502379,0.092487159,0.095374693,0.096629894,0.097046914,0.097200267,0.096127653,0.098533296,0.098533296
0.047506363,,0.039009048,0.038046587,0.044480431,0.041889513,0.04044017,0.048256841,0.047383088,0.047801914,0.047801914
0.046237484,,0.039009048,0.042474414,0.041070306,0.042237085,0.036768096,0.038921799,0.036763138,0.045929491,0.045929491
0.038101356,,0.039452979,0.037302569,0.040412054,0.041412583,0.03797909,0.036397172,0.03745586,0.038037395,0.038037395
0.056486606,,0.073862881,0.074300333,0.061243781,0.053317663,0.055167845,0.053768094,0.054797378,0.055493863,0.055493863
0.0420539,,0.040153317,0.037155632,0.039013132,0.040135893,0.040031768,0.04018376,0.039756845,0.041657134,0.041657134
0.087955717,,0.090036362,0.104634972,0.098787325,0.09434613,0.096408755,0.094310886,0.093406488,0.089011076,0.089011076
0.081132272,,0.059024315,0.061769957,0.067729601,0.070489102,0.069211691,0.070202543,0.070813984,0.072705441,0.072705441
0.418267777,,0.454205812,0.455168262,0.439128335,0.4580014,0.4458289,0.4400423,0.447159612,0.446744367,0.446744367
0.043679874,,0.047606333,0.046995167,0.043746822,0.042518757,0.045530312,0.043043564,0.045565026,0.044703528,0.044703528
