,,predicted y using no of feaures according to heatmap,,,,,,,,
actual y test,no of variable,1,2,3,4,5,6,7,8,predicted y using all value
0.046980156,,0.041223513,0.041223513,0.032363048,0.032363048,0.040497909,0.03916843,0.03916843,0.040497909,0.03916843
0.136728161,,0.07149678,0.079132669,0.127318353,0.109160282,0.137456833,0.114744247,0.114744247,0.114744247,0.114744247
0.038831203,,0.054382672,0.054382672,0.058148875,0.053665648,0.044826526,0.051505955,0.053665648,0.051505955,0.051505955
0.049320633,,0.083707415,0.083707415,0.029015063,0.029015063,0.108397344,0.108397344,0.108397344,0.037513916,0.037513916
0.048562099,,0.07149678,0.0736229,0.075650584,0.075423382,0.075423382,0.059341482,0.059341482,0.059341482,0.053070738
0.044832058,,0.054382672,0.054382672,0.050731856,0.050731856,0.050731856,0.050731856,0.050731856,0.050731856,0.050275179
0.065697229,,0.07149678,0.062956801,0.064937723,0.064937723,0.064937723,0.064937723,0.064937723,0.064937723,0.064937723
0.082283252,,0.084876355,0.084876355,0.076104333,0.075559383,0.076721732,0.081869509,0.081869509,0.075559383,0.079925814
0.09717251,,0.096667145,0.107440453,0.096732944,0.195166486,0.195166486,0.195166486,0.195166486,0.08727874,0.08727874
0.055603574,,0.074352544,0.074659065,0.059360994,0.055603574,0.055603574,0.055603574,0.055603574,0.055603574,0.055603574
0.024240345,,0.07149678,0.045844621,0.027782054,0.027782054,0.028691301,0.028691301,0.028691301,0.023833554,0.023833554
0.073329816,,0.073356232,0.073356232,0.092081223,0.092081223,0.082171343,0.092081223,0.092081223,0.100971895,0.100971895
0.069104602,,0.07149678,0.079132669,0.064019421,0.079635399,0.079635399,0.079180922,0.079635399,0.067527074,0.067527074
0.141988845,,0.07149678,0.079132669,0.120560077,0.127318353,0.120560077,0.12684481,0.120560077,0.120560077,0.127318353
0.057265863,,0.07149678,0.062956801,0.061085148,0.057057118,0.057057118,0.057057118,0.057057118,0.057057118,0.057057118
0.05453061,,0.074352544,0.074659065,0.055001699,0.053608308,0.054122201,0.053608308,0.053608308,0.054122201,0.054122201
0.069625009,,0.07149678,0.079132669,0.062746018,0.073395994,0.056592542,0.056592542,0.056592542,0.061036219,0.061036219
0.102152507,,0.091535704,0.091535704,0.092533269,0.100032229,0.100032229,0.100032229,0.100032229,0.100032229,0.100032229
0.047506363,,0.036949852,0.042021772,0.055791653,0.06066883,0.042021772,0.066488177,0.066488177,0.042021772,0.042021772
0.046237484,,0.036949852,0.037449646,0.041786398,0.040202179,0.035196964,0.035196964,0.035196964,0.040202179,0.040202179
0.038101356,,0.036419151,0.034839268,0.033607664,0.037895469,0.037895469,0.034839268,0.034839268,0.037895469,0.037895469
0.056486606,,0.074352544,0.074659065,0.060191111,0.055767032,0.055767032,0.055767032,0.055767032,0.055767032,0.055767032
0.0420539,,0.037049656,0.035370248,0.041822429,0.031217073,0.043903375,0.043903375,0.044187539,0.044187539,0.043903375
0.087955717,,0.096667145,0.107440453,0.08727874,0.08727874,0.08727874,0.08727874,0.08727874,0.08727874,0.08727874
0.081132272,,0.061699582,0.061699582,0.076280239,0.076280239,0.076280239,0.03761058,0.03761058,0.07399692,0.073537302
0.418267777,,0.462541481,0.434352459,0.434352459,0.471828975,0.453253987,0.455060336,0.453253987,0.453253987,0.455060336
0.043679874,,0.045283802,0.045283802,0.040497909,0.043908492,0.041820843,0.041820843,0.041820843,0.041820843,0.041820843
0.066808251,,0.061699582,0.061699582,0.06739017,0.06739017,0.06739017,0.07399692,0.07399692,0.06739017,0.06739017
0.059498937,,0.07149678,0.062956801,0.070286697,0.060533757,0.060533757,0.060533757,0.060533757,0.056198703,0.056198703
0.092415479,,0.07149678,0.086421568,0.114203295,0.114203295,0.114203295,0.114203295,0.114203295,0.061582041,0.061582041
0.082016942,,0.07149678,0.079132669,0.063110026,0.093209592,0.073745363,0.067541662,0.067541662,0.067285448,0.067285448
0.135140116,,0.07149678,0.08300908,0.12761616,0.12761616,0.12761616,0.12761616,0.129496558,0.094065581,0.069639303
0.047389207,,0.044044146,0.040238432,0.083409379,0.052772989,0.052772989,0.051356198,0.051356198,0.054795736,0.054795736
0.049431838,,0.036949852,0.053454082,0.035021382,0.037895469,0.033607664,0.035021382,0.035021382,0.042021772,0.041924495
0.064188508,,0.07149678,0.062956801,0.060948457,0.064794167,0.064794167,0.064794167,0.060948457,0.064794167,0.064794167
0.047747889,,0.074352544,0.074659065,0.048588705,0.048588705,0.048588705,0.048588705,0.048588705,0.048588705,0.048588705
0.029924749,,0.037049656,0.035370248,0.028605616,0.03084833,0.03084833,0.03084833,0.03084833,0.03084833,0.03084833
0.355423367,,0.395787515,0.395787515,0.395787515,0.395787515,0.395787515,0.395787515,0.395787515,0.395787515,0.395787515
0.03161232,,0.07149678,0.040613239,0.036821855,0.036884353,0.036884353,0.036884353,0.036884353,0.031397663,0.031397663
0.039966972,,0.052075203,0.052075203,0.053533435,0.031878418,0.031878418,0.031878418,0.031878418,0.031878418,0.031878418
0.037655386,,0.041223513,0.041223513,0.042887561,0.042887561,0.042887561,0.042887561,0.042887561,0.03032335,0.030848385
0.156855181,,0.07149678,0.093756698,0.101213966,0.084691594,0.084691594,0.173033172,0.084691594,0.173033172,0.173033172
0.03115753,,0.031908654,0.029914527,0.029914527,0.030064741,0.037513916,0.039137719,0.039137719,0.031397663,0.031397663
0.130471079,,0.11801671,0.11801671,0.123556724,0.123556724,0.123556724,0.123556724,0.123556724,0.123556724,0.123556724
0.024033342,,0.07149678,0.062669785,0.023833554,0.023833554,0.023833554,0.023833554,0.023833554,0.023833554,0.023833554
0.09075725,,0.07149678,0.08300908,0.129496558,0.129496558,0.129496558,0.133320538,0.12761616,0.069574456,0.074308521
0.037204617,,0.054382672,0.054382672,0.060523677,0.053665648,0.044826526,0.051505955,0.053665648,0.051505955,0.051505955
0.067991016,,0.07149678,0.070686463,0.066131367,0.066131367,0.066131367,0.066131367,0.066131367,0.066131367,0.065467833
0.092972909,,0.092873973,0.092873973,0.093519085,0.090950299,0.0895563,0.092385095,0.092385095,0.0895563,0.090950299
0.059030503,,0.07149678,0.08300908,0.078739727,0.094065581,0.094065581,0.094065581,0.094065581,0.089406385,0.089406385
0.066592159,,0.07149678,0.062956801,0.064589499,0.0643897,0.064937723,0.064937723,0.064589499,0.064937723,0.064937723
0.093054132,,0.090727655,0.090727655,0.092953682,0.092953682,0.092953682,0.093519085,0.092953682,0.092953682,0.092953682
0.034526098,,0.041223513,0.041223513,0.034592401,0.034526098,0.034526098,0.034526098,0.034526098,0.034526098,0.034526098
0.085746873,,0.07149678,0.079132669,0.091141687,0.091141687,0.091141687,0.091141687,0.091141687,0.077347045,0.077347045
0.055545219,,0.07149678,0.070686463,0.055446189,0.061036219,0.057390058,0.052755087,0.052755087,0.073395994,0.075650584
0.032197722,,0.04357877,0.052781747,0.040735319,0.040732686,0.040735319,0.040732686,0.040735319,0.040735319,0.040735319
0.075921121,,0.084876355,0.084876355,0.076721732,0.076721732,0.076721732,0.076721732,0.076721732,0.076721732,0.076721732
0.113693676,,0.074352544,0.074659065,0.099564393,0.138046949,0.138046949,0.138046949,0.138046949,0.138046949,0.138046949
0.061191557,,0.07149678,0.08300908,0.064255468,0.094065581,0.094065581,0.094065581,0.094065581,0.078063945,0.078063945
0.052980356,,0.07149678,0.0736229,0.057616377,0.057561939,0.057561939,0.057561939,0.057561939,0.057561939,0.057561939
0.02616286,,0.096667145,0.031905007,0.033675134,0.033953557,0.028602781,0.034116656,0.034032504,0.031905007,0.035337941
0.047601792,,0.07149678,0.0736229,0.052932729,0.052932729,0.052932729,0.05161576,0.05161576,0.05161576,0.05161576
0.051373402,,0.0495891,0.036947451,0.035993592,0.035993592,0.034866596,0.070570922,0.070570922,0.067936196,0.067430602
0.076185176,,0.07149678,0.079132669,0.081133461,0.081133461,0.081133461,0.055953282,0.055953282,0.055953282,0.059578001
0.022246375,,0.037102541,0.07159763,0.040735319,0.028636867,0.028636867,0.035262674,0.035262674,0.028636867,0.028636867
0.042481203,,0.04766392,0.043265922,0.044260335,0.041820843,0.043716589,0.044260335,0.043716589,0.044260335,0.044260335
0.028188421,,0.025348906,0.025348906,0.042435094,0.029015063,0.108397344,0.053454082,0.053454082,0.032468483,0.032468483
0.069690605,,0.07149678,0.079132669,0.075650584,0.056592542,0.056592542,0.075650584,0.073395994,0.075650584,0.075650584
0.05689203,,0.037049656,0.035370248,0.044187539,0.044187539,0.044187539,0.044187539,0.044187539,0.048766453,0.048766453
0.056256721,,0.038308787,0.052781747,0.058797073,0.058797073,0.058211998,0.058211998,0.058211998,0.058797073,0.058797073
0.034827753,,0.035962612,0.050900614,0.048542041,0.050900614,0.049194572,0.048542041,0.050900614,0.033379929,0.033379929
0.03805959,,0.040654856,0.039526521,0.023693645,0.031397663,0.039137719,0.029914527,0.029914527,0.03576603,0.037449646
0.053985517,,0.039007413,0.039007413,0.028292859,0.028292859,0.028292859,0.040795624,0.040795624,0.040795624,0.040795624
0.052372587,,0.037121672,0.037121672,0.042952613,0.040285641,0.035468359,0.040285641,0.040285641,0.040285641,0.040795624
0.042758753,,0.040654856,0.046080829,0.046080829,0.046397004,0.046080829,0.046080829,0.046397004,0.046397004,0.046080829
0.058178973,,0.074352544,0.074659065,0.060967296,0.057747555,0.057747555,0.057747555,0.057747555,0.057747555,0.057747555
0.096137258,,0.061699582,0.061699582,0.076280239,0.076280239,0.076280239,0.076280239,0.076280239,0.07399692,0.073537302
0.041839646,,0.037121672,0.037121672,0.032482025,0.026282586,0.026282586,0.026167929,0.026282586,0.038251753,0.038251753
0.082229337,,0.07149678,0.093756698,0.101213966,0.082758346,0.082758346,0.082758346,0.082758346,0.101213966,0.101213966
0.05854405,,0.096667145,0.107440453,0.195166486,0.096732944,0.096732944,0.125802878,0.111388305,0.105118358,0.105118358
0.029731188,,0.054382672,0.054382672,0.058148875,0.053665648,0.05785304,0.033074579,0.033074579,0.053665648,0.051505955
0.075088684,,0.07149678,0.079132669,0.079180922,0.079180922,0.079180922,0.079180922,0.079180922,0.061995994,0.061995994
0.064930239,,0.07149678,0.071896761,0.07111112,0.075960576,0.07111112,0.07111112,0.07111112,0.059818133,0.059818133
