,,y using no of feature according to heatmap,,,,,,,,
actual y,,1,2,3,4,5,6,7,8,y predicted using all feature
0.046980156,,0.057590568,0.050992545,0.056203145,0.055991839,0.055356242,0.055356242,0.055356242,0.055355369,0.055355369
0.136728161,,0.051773839,0.054157723,0.054185807,0.054929213,0.056381802,0.056381802,0.056381802,0.056381628,0.056381628
0.038831203,,0.134177501,0.11845197,0.117928143,0.120610398,0.123259069,0.123259069,0.123259067,0.12326001,0.12326001
0.049320633,,0.079888029,0.068208323,0.067056612,0.062819024,0.052981016,0.052981016,0.052981016,0.052980995,0.052980995
0.048562099,,0.051773839,0.052605602,0.051902729,0.053718756,0.0548061,0.0548061,0.0548061,0.054806038,0.054806038
0.044832058,,0.134177501,0.11845197,0.117842815,0.120477696,0.123239861,0.123239861,0.12323986,0.123240816,0.123240816
0.065697229,,0.051773839,0.061577616,0.060795759,0.062095501,0.062945533,0.062945533,0.062945534,0.062945475,0.062945475
0.082283252,,0.055166931,0.131102943,0.131096263,0.12918353,0.126672879,0.126672879,0.126672881,0.126672682,0.126672682
0.09717251,,0.066315661,0.057544973,0.060249714,0.061393241,0.061670527,0.061670527,0.061670527,0.061670142,0.061670142
0.055603574,,0.092490943,0.081506553,0.080962258,0.083535441,0.085014405,0.085014405,0.085014404,0.085014825,0.085014825
0.024240345,,0.051773839,0.044455076,0.043597695,0.036510022,0.037666735,0.037666735,0.037666735,0.037666506,0.037666506
0.073329816,,0.105093856,0.092787026,0.100495155,0.099266731,0.098875476,0.098875476,0.098875475,0.098874817,0.098874817
0.069104602,,0.051773839,0.054157723,0.053560464,0.055047951,0.056241037,0.056241037,0.056241037,0.056240958,0.056240958
0.141988845,,0.051773839,0.054157723,0.054472179,0.05528306,0.056446265,0.056446265,0.056446265,0.056446048,0.056446048
0.057265863,,0.051773839,0.061577616,0.060836669,0.062238751,0.062954742,0.062954742,0.062954743,0.062954677,0.062954677
0.05453061,,0.092490943,0.081506553,0.080903815,0.083458251,0.084987633,0.084987633,0.084987633,0.084988062,0.084988062
0.069625009,,0.051773839,0.054157723,0.053350069,0.054750493,0.056193677,0.056193677,0.056193677,0.056193629,0.056193629
0.102152507,,0.079403302,0.151260056,0.150715656,0.14921348,0.147436332,0.147436332,0.147436334,0.147436519,0.147436519
0.047506363,,0.063892024,0.055040911,0.054087123,0.051108975,0.052076206,0.052076206,0.052076206,0.052076215,0.052076215
0.046237484,,0.063892024,0.054957627,0.053981147,0.051966646,0.052523563,0.052523563,0.052523563,0.052523586,0.052523586
0.038101356,,0.062437842,0.053751986,0.052812503,0.049738702,0.05090497,0.05090497,0.05090497,0.050904962,0.050904962
0.056486606,,0.092490943,0.081506553,0.08095057,0.083518193,0.085009422,0.085009422,0.085009421,0.085009844,0.085009844
0.0420539,,0.074556028,0.064269679,0.064904983,0.067069837,0.067727553,0.067727553,0.067727553,0.067727574,0.067727574
0.087955717,,0.066315661,0.057544973,0.058496416,0.060436732,0.061275859,0.061275859,0.061275859,0.061275738,0.061275738
0.081132272,,0.056621113,0.078366713,0.080589607,0.080504282,0.079381292,0.079381292,0.079381292,0.079380828,0.079380828
0.418267777,,0.176833515,0.197463581,0.198579435,0.197662252,0.199502592,0.199502592,0.199502591,0.199503769,0.199503769
0.043679874,,0.05710584,0.053595216,0.06064014,0.059137091,0.058071177,0.058071177,0.058071177,0.058070019,0.058070019
