,,predicted y using number of features using heatmap,,,,,,,,,
actual y test,no of variable,1,2,3,4,5,6,7,8,predicted y using all features,
0.046980156,,0.041223513,0.041223513,0.035942387,0.034012977,0.04065871,0.040161345,0.040140697,0.041267953,0.041079922,
0.136728161,,0.07149678,0.079132669,0.109395575,0.124932906,0.124016785,0.121563631,0.12193233,0.12758864,0.124306956,
0.038831203,,0.054382672,0.054382672,0.05928878,0.047116886,0.046925935,0.047105582,0.047171987,0.047450675,0.046823215,
0.049320633,,0.087386711,0.068429978,0.03285953,0.029975122,0.038395367,0.038158758,0.039088345,0.040206127,0.046529369,
0.048562099,,0.07149678,0.0736229,0.059902298,0.055704074,0.054857865,0.053941412,0.054138926,0.05447223,0.055095055,
0.044832058,,0.054382672,0.054382672,0.053728179,0.04976413,0.049737224,0.049639968,0.0494565,0.050077841,0.050065092,
0.065697229,,0.07149678,0.062956801,0.064901545,0.064411646,0.064455708,0.064862543,0.064644494,0.064903747,0.064669464,
0.082283252,,0.084876355,0.084876355,0.076521923,0.076589637,0.077114476,0.077060042,0.077062998,0.077760832,0.078114002,
0.09717251,,0.096667145,0.107440454,0.096732944,0.128864832,0.139680595,0.13834881,0.136981789,0.104066665,0.103678665,
0.055603574,,0.074352544,0.074659065,0.059360994,0.055603574,0.055603574,0.055603574,0.055603574,0.055603574,0.055603574,
0.024240345,,0.07149678,0.037312108,0.028238829,0.026779825,0.027061896,0.027887192,0.027801742,0.026720354,0.026159583,
0.073329816,,0.073356232,0.073356232,0.093901009,0.094197448,0.076886368,0.082185127,0.082187496,0.079567242,0.078389786,
0.069104602,,0.07149678,0.079132669,0.072583981,0.074818141,0.071914219,0.066806954,0.067304839,0.068327934,0.067513036,
0.141988845,,0.07149678,0.079132669,0.124934466,0.127165479,0.127531777,0.126374006,0.125737607,0.124706204,0.126339747,
0.057265863,,0.07149678,0.062956801,0.061085149,0.057406006,0.057347858,0.05728971,0.057115266,0.057342683,0.057486567,
0.05453061,,0.074352544,0.074659065,0.055001699,0.054352384,0.054434842,0.054452452,0.054498971,0.054514397,0.054308531,
0.069625009,,0.07149678,0.079132669,0.064535659,0.064778987,0.064514249,0.062658527,0.062289473,0.069081477,0.069277342,
0.102152507,,0.091535704,0.091535704,0.092533269,0.098277699,0.098232479,0.097482583,0.097503105,0.09800751,0.098682416,
0.047506363,,0.036949852,0.0372601,0.044947317,0.042391874,0.040527111,0.053205054,0.052952862,0.043959418,0.045865674,
0.046237484,,0.036949852,0.042296375,0.039226943,0.04520244,0.038617422,0.038094598,0.038251964,0.041688338,0.043005914,
0.038101356,,0.036419151,0.03383681,0.034660675,0.038957695,0.03719606,0.035393536,0.035807211,0.037483193,0.036660012,
0.056486606,,0.074352544,0.074659065,0.060191111,0.055439048,0.055378597,0.056331232,0.0564364,0.05644401,0.055655786,
0.0420539,,0.037049656,0.035370248,0.041822429,0.042506052,0.043160563,0.04303799,0.042857306,0.042880958,0.042996283,
0.087955717,,0.096667145,0.107440454,0.08779968,0.096642665,0.096393045,0.089402037,0.090557728,0.090796348,0.090233713,
0.081132272,,0.061699582,0.061699582,0.07567568,0.075088054,0.074436621,0.074731985,0.073753093,0.073679992,0.073638138,
0.418267777,,0.46044676,0.447459305,0.437546008,0.450268673,0.4351885,0.43556287,0.434634676,0.439713678,0.436257171,
0.043679874,,0.045283802,0.045283802,0.044076274,0.043788603,0.044057504,0.046469562,0.045304344,0.04466897,0.04457987,
0.066808251,,0.061699582,0.061699582,0.06739017,0.067668158,0.067604049,0.067899673,0.06711891,0.067308694,0.067400481,
0.059498937,,0.07149678,0.062956801,0.069685666,0.060746667,0.060328848,0.059555692,0.060224207,0.058995236,0.059412031,
0.092415479,,0.07149678,0.086421568,0.118840763,0.083399815,0.086363739,0.086746715,0.086452806,0.08271538,0.080925796,
0.082016942,,0.07149678,0.079132669,0.063110026,0.077515591,0.078486008,0.089231498,0.092291349,0.081434944,0.082061872,
0.135140116,,0.07149678,0.08300908,0.126969309,0.103915325,0.105933819,0.106399553,0.104668857,0.107328923,0.107752898,
0.047389207,,0.044044146,0.045774642,0.054128318,0.051185028,0.060914556,0.063457545,0.064888651,0.058004518,0.062007352,
0.049431838,,0.036949852,0.037517534,0.044659387,0.044080177,0.041289049,0.037258167,0.036201335,0.040180801,0.039537528,
0.064188508,,0.07149678,0.062956801,0.045891908,0.061961389,0.063081617,0.063409077,0.063191856,0.063776122,0.064038525,
0.047747889,,0.074352544,0.074659065,0.048588705,0.048596895,0.048596895,0.048590753,0.048594848,0.048590753,0.048609181,
0.029924749,,0.037049656,0.035370248,0.032032903,0.036094469,0.032640263,0.032342677,0.034049571,0.032025549,0.031270097,
0.355423367,,0.241500797,0.337325956,0.330366275,0.327740698,0.335004981,0.336676844,0.334652251,0.349142808,0.340048208,
0.03161232,,0.07149678,0.040613239,0.034626913,0.03740894,0.035920161,0.036427634,0.036869208,0.035081644,0.034166885,
0.039966972,,0.052075203,0.052075203,0.057104077,0.042387682,0.037517492,0.03481396,0.035490831,0.034660639,0.034492279,
0.037655386,,0.041223513,0.041223513,0.045977802,0.043880487,0.042188607,0.042412427,0.042550207,0.038534907,0.038148445,
0.156855181,,0.07149678,0.093756698,0.096829257,0.11451245,0.113032094,0.119377262,0.114936916,0.141913237,0.144763408,
0.03115753,,0.031908654,0.030618217,0.030760626,0.033419445,0.034535364,0.034480235,0.034500931,0.033618887,0.032867866,
0.130471079,,0.11801671,0.11801671,0.124344435,0.124084716,0.124259763,0.124113891,0.124074407,0.123703694,0.123655655,
0.024033342,,0.07149678,0.062669785,0.02464255,0.024252135,0.024349275,0.024132635,0.023966549,0.024405559,0.024117237,
0.09075725,,0.07149678,0.08300908,0.127785656,0.110138601,0.108592416,0.09864451,0.096282318,0.097212227,0.10241915,
0.037204617,,0.054382672,0.054382672,0.060214953,0.047162277,0.046469861,0.046246736,0.047195735,0.047605556,0.047042694,
0.067991016,,0.07149678,0.070686463,0.066861509,0.064733114,0.065622175,0.067543279,0.06717156,0.065510992,0.065968651,
0.092972909,,0.092873973,0.092873973,0.093042809,0.091520288,0.092206168,0.091730441,0.091783134,0.091518592,0.091637625,
0.059030503,,0.07149678,0.08300908,0.078739727,0.086240327,0.090109913,0.075432919,0.072276467,0.067832046,0.070011568,
0.066592159,,0.07149678,0.062956801,0.064495593,0.0635068,0.063126838,0.064095671,0.064103556,0.06459506,0.063523939,
0.093054132,,0.090727655,0.090727655,0.092984377,0.093241418,0.092471536,0.092073943,0.091789342,0.091566867,0.091145558,
0.034526098,,0.041223513,0.041223513,0.034592401,0.034526098,0.034526098,0.034526098,0.034526098,0.034526098,0.034526098,
0.085746873,,0.07149678,0.079132669,0.081353971,0.090470818,0.091590721,0.088192743,0.088023022,0.089702782,0.087462876,
0.055545219,,0.07149678,0.070686463,0.057272407,0.059045765,0.058552496,0.057741534,0.058081341,0.061044901,0.059908017,
0.032197722,,0.04357877,0.069413516,0.042849842,0.034122356,0.035937898,0.035416449,0.035413084,0.033389673,0.034572814,
0.075921121,,0.084876355,0.084876355,0.076721732,0.076944501,0.077059921,0.076847923,0.077248246,0.076892761,0.076581823,
0.113693676,,0.074352544,0.074659065,0.106449062,0.100065219,0.098593296,0.084276739,0.086159836,0.085487891,0.101447506,
0.061191557,,0.07149678,0.08300908,0.06326463,0.078546603,0.077118177,0.08238715,0.082786899,0.081672617,0.081351187,
0.052980356,,0.07149678,0.0736229,0.057616377,0.057368901,0.057483897,0.058172884,0.057466424,0.056993504,0.056120199,
0.02616286,,0.096667145,0.048883156,0.042699652,0.042375712,0.036337575,0.037398241,0.035866136,0.029556422,0.02995086,
0.047601792,,0.07149678,0.0736229,0.052932729,0.052711413,0.052598241,0.052732212,0.054205615,0.053035648,0.052615046,
0.051373402,,0.0495891,0.0475333,0.041186089,0.039269718,0.03443663,0.036870003,0.036844374,0.047383418,0.048047005,
0.076185176,,0.07149678,0.079132669,0.084083506,0.08527435,0.084600436,0.077139051,0.077839254,0.077958326,0.080593395,
0.022246375,,0.037102541,0.045958319,0.041177916,0.03867882,0.04106423,0.04196639,0.040007387,0.036085568,0.035176141,
0.042481203,,0.04766392,0.043265922,0.04420209,0.043293494,0.043749964,0.043977976,0.043533731,0.043498624,0.043734501,
0.028188421,,0.025348906,0.027523647,0.027321992,0.028142753,0.029816292,0.026854299,0.026859472,0.026008814,0.027447077,
0.069690605,,0.07149678,0.079132669,0.066693304,0.066266087,0.067279425,0.078602495,0.078459685,0.075519771,0.076970249,
0.05689203,,0.037049656,0.035370248,0.044808041,0.052502148,0.046345448,0.04910532,0.046107586,0.051363218,0.05134703,
0.056256721,,0.038308787,0.052593634,0.053409633,0.059883509,0.056524128,0.058559765,0.056487725,0.055498361,0.053786117,
0.034827753,,0.035962612,0.049159118,0.045898718,0.04459355,0.044531847,0.048742049,0.047800218,0.043266806,0.043012528,
0.03805959,,0.040654856,0.039427778,0.032617861,0.032128292,0.035893831,0.036040562,0.034575185,0.035946959,0.035846718,
0.053985517,,0.039007413,0.039007413,0.039223771,0.038416115,0.037883029,0.038734589,0.039266932,0.040621469,0.040165897,
0.052372587,,0.037121672,0.037121672,0.042400691,0.037350548,0.037639913,0.038571648,0.03733939,0.037433742,0.038060463,
0.042758753,,0.040654856,0.046080829,0.045637347,0.046202602,0.046173295,0.043487112,0.044074207,0.042111997,0.042099386,
0.058178973,,0.074352544,0.074659065,0.060967296,0.058632878,0.058579861,0.058716823,0.058576718,0.058654855,0.058713771,
0.096137258,,0.061699582,0.061699582,0.074733453,0.074499779,0.075025043,0.073991726,0.074263251,0.071920905,0.073227367,
0.041839646,,0.037121672,0.037121672,0.032624253,0.031345465,0.031972294,0.031045424,0.030300714,0.034891689,0.035521038,
0.082229337,,0.07149678,0.093756698,0.134646548,0.0916368,0.097267412,0.095023223,0.100629844,0.092074768,0.093637518,
0.05854405,,0.096667145,0.107440454,0.151854624,0.103661825,0.102678293,0.109478871,0.107897719,0.098051892,0.098735088,
0.029731188,,0.054382672,0.054382672,0.058600087,0.047852783,0.047373172,0.047823373,0.047287327,0.047968969,0.048090225,
0.075088684,,0.07149678,0.079132669,0.079180922,0.07717093,0.078180218,0.073980265,0.074783101,0.07567917,0.074971702,
0.064930239,,0.07149678,0.071896761,0.068626663,0.068232559,0.067727047,0.067581881,0.067849954,0.065359941,0.066565986,
0.09554185,,0.11801671,0.11801671,0.220912231,0.14192426,0.121869063,0.121291687,0.12395305,0.110949559,0.115477802,
0.060661556,,0.07149678,0.0736229,0.066995157,0.055230262,0.055641792,0.057306536,0.058088043,0.055879883,0.056582428,
0.095332758,,0.096667145,0.107440454,0.126729909,0.097673655,0.095219578,0.101450129,0.098827946,0.090998284,0.094479181,
0.026446186,,0.07149678,0.040613239,0.036821855,0.030440523,0.028528607,0.029255087,0.028476318,0.027567748,0.027368298,
0.061781111,,0.061699582,0.061699582,0.070355557,0.074225252,0.073587819,0.073883183,0.074113518,0.065888589,0.063633677,
0.056126819,,0.074352544,0.074659065,0.060967296,0.055712425,0.055563987,0.055731047,0.056507024,0.056479323,0.055687174,
0.036875909,,0.046656277,0.053225454,0.037137523,0.03638496,0.036513572,0.037479329,0.037330008,0.036171272,0.03797086,
0.03772365,,0.033514372,0.043911164,0.044609483,0.044065324,0.041960335,0.054211287,0.053509954,0.040449967,0.041431032,
0.065713063,,0.07149678,0.0736229,0.056061523,0.065153812,0.064849257,0.066239138,0.067175439,0.071128602,0.071043991,
0.038517547,,0.041223513,0.041223513,0.062403512,0.049831892,0.042019498,0.043034296,0.043122382,0.037819713,0.038083758,
0.049964807,,0.07149678,0.0736229,0.054595275,0.053972693,0.052540808,0.052483463,0.050957614,0.051632357,0.05097614,
0.068768818,,0.07149678,0.079132669,0.075307348,0.074477262,0.072237062,0.070605308,0.070803163,0.070185957,0.071935021,
0.044785499,,0.033514372,0.046183046,0.04146974,0.040682725,0.041754303,0.039928091,0.041256088,0.041949735,0.040512266,
0.056081269,,0.074352544,0.074659065,0.066018901,0.056510208,0.056503992,0.060645648,0.058531569,0.0613973,0.056247089,
0.054884226,,0.074352544,0.074659065,0.058273361,0.054884226,0.054884226,0.054884226,0.054884226,0.054884226,0.054884226,
0.065233562,,0.07149678,0.062956801,0.066284185,0.066281841,0.066600912,0.066472538,0.066046295,0.066394418,0.065540064,
0.056180021,,0.043559695,0.048169561,0.049579644,0.050088837,0.050386418,0.050679203,0.051448625,0.050202467,0.051048578,
0.05799646,,0.074352544,0.074659065,0.055097742,0.057474403,0.057223368,0.057892345,0.057750611,0.057956076,0.057881196,
0.052703327,,0.074352544,0.074659065,0.05318845,0.05286237,0.052879617,0.052835163,0.052879865,0.052949642,0.05287651,
0.053974836,,0.037121672,0.037121672,0.042022231,0.035649876,0.037042498,0.037468178,0.036062939,0.037349922,0.03740605,
0.080275014,,0.07149678,0.075467286,0.107527685,0.1088484,0.104956866,0.099520328,0.1022877,0.099791492,0.098140353,
0.096120069,,0.11801671,0.11801671,0.109798926,0.121714905,0.107825182,0.10766464,0.103131193,0.099169256,0.099497511,
0.041645313,,0.044290633,0.041639155,0.039569105,0.039063448,0.039350896,0.039139848,0.03933959,0.041612454,0.04093766,
0.042669009,,0.04766392,0.043265922,0.045681566,0.043254933,0.044011741,0.046361492,0.044260393,0.044353988,0.04379714,
0.065953312,,0.07149678,0.062956801,0.065768496,0.06655728,0.066053239,0.064390291,0.06451032,0.066378814,0.065896452,
0.025875102,,0.036949852,0.031153792,0.03253894,0.031036922,0.031725422,0.032728578,0.031959193,0.029469555,0.030014992,
0.063184884,,0.035962612,0.050203064,0.053245011,0.059708409,0.056290301,0.058445447,0.056131109,0.055080153,0.05383892,
0.037320348,,0.041223513,0.041223513,0.04084196,0.043332124,0.038663337,0.039799633,0.038292239,0.037512491,0.037644739,
0.056523079,,0.060840492,0.035981013,0.033371298,0.033723689,0.031489757,0.033254297,0.032256278,0.044526909,0.045567505,
0.06897037,,0.07149678,0.070686463,0.066586969,0.064394785,0.063133245,0.066990116,0.065472975,0.066595338,0.067450875,
0.060571674,,0.033514372,0.033956154,0.04283092,0.034999984,0.038300983,0.03711845,0.03699044,0.048989318,0.048354898,
0.072102106,,0.07149678,0.071896761,0.076484091,0.077781184,0.077886057,0.077469695,0.07678253,0.074653195,0.075567357,
0.035850141,,0.045831842,0.040833405,0.039149758,0.038847915,0.038736846,0.03775597,0.039036592,0.039125116,0.040060999,
0.144254706,,0.07149678,0.0736229,0.143858521,0.132735414,0.132463645,0.135634604,0.13389196,0.138153758,0.137166673,
0.076232587,,0.07149678,0.079132669,0.06408713,0.083257156,0.083920723,0.074670817,0.075211324,0.077603379,0.076727087,
0.047173434,,0.07149678,0.070686463,0.062098482,0.062235294,0.062053187,0.058464231,0.059936268,0.060838394,0.059860369,
0.058185142,,0.061699582,0.061699582,0.04833242,0.055210451,0.055602341,0.055294238,0.055871843,0.054323965,0.055312772,
0.080208123,,0.07149678,0.070686463,0.077359109,0.080121156,0.081096626,0.080429116,0.080245043,0.081049265,0.080951725,
0.041274032,,0.0495891,0.0495891,0.034805932,0.035463906,0.033595696,0.035619998,0.036841237,0.040828001,0.040951643,
0.050262545,,0.037513981,0.052780773,0.053580527,0.057551048,0.056168872,0.056455425,0.055624157,0.05474702,0.053838636,
0.082970885,,0.052075203,0.052075203,0.046860583,0.045540059,0.042881273,0.03996748,0.041187063,0.062351715,0.067160065,
0.060303393,,0.07149678,0.086421568,0.058208049,0.080735981,0.082747466,0.080607088,0.076241693,0.088664867,0.08604,
0.037114341,,0.037121672,0.037121672,0.029414935,0.036911336,0.039685533,0.03671883,0.036712366,0.036218786,0.036610171,
0.08981698,,0.07149678,0.070686463,0.077095178,0.086970202,0.087435048,0.08612518,0.087865369,0.089481483,0.088715578,
