,,predicted y usinf no of features according to headmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all feature
0.046980156,,0.059995891,0.054895405,0.054895405,0.054895405,0.055371986,0.055371986,0.055371986,0.055371986,0.055371986
0.136728161,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.038831203,,0.121451795,0.109234579,0.109234579,0.109234579,0.109972946,0.109972946,0.109972946,0.109972946,0.109972946
0.049320633,,0.077888116,0.068838688,0.068838688,0.068838688,0.066605414,0.066605414,0.066605414,0.066605414,0.066605414
0.048562099,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.044832058,,0.121451795,0.109234579,0.109234579,0.109234579,0.109972946,0.109972946,0.109972946,0.109972946,0.109972946
0.065697229,,0.055328354,0.062930499,0.062930499,0.062930499,0.063159651,0.063159651,0.063159651,0.063159651,0.063159651
0.082283252,,0.058051084,0.11685288,0.11685288,0.11685288,0.11618482,0.11618482,0.11618482,0.11618482,0.11618482
0.09717251,,0.066997196,0.060208873,0.060208873,0.060208873,0.060734537,0.060734537,0.060734537,0.060734537,0.060734537
0.055603574,,0.088001113,0.079481812,0.079481812,0.079481812,0.080025353,0.080025353,0.080025353,0.080025353,0.080025353
0.024240345,,0.055328354,0.049673636,0.049673636,0.049673636,0.048689164,0.048689164,0.048689164,0.048689164,0.048689164
0.073329816,,0.09811411,0.08856272,0.08856272,0.08856272,0.089214651,0.089214651,0.089214651,0.089214651,0.089214651
0.069104602,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.141988845,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.057265863,,0.055328354,0.062930499,0.062930499,0.062930499,0.063159651,0.063159651,0.063159651,0.063159651,0.063159651
0.05453061,,0.088001113,0.079481812,0.079481812,0.079481812,0.08002332,0.08002332,0.08002332,0.08002332,0.08002332
0.069625009,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.102152507,,0.077499155,0.133126858,0.133126858,0.133126858,0.132568403,0.132568403,0.132568403,0.132568403,0.132568403
0.047506363,,0.065052389,0.058203378,0.058203378,0.058203378,0.057793434,0.057793434,0.057793434,0.057793434,0.057793434
0.046237484,,0.065052389,0.058138896,0.058138896,0.058138896,0.05780894,0.05780894,0.05780894,0.05780894,0.05780894
0.038101356,,0.063885505,0.057165388,0.057165388,0.057165388,0.056772479,0.056772479,0.056772479,0.056772479,0.056772479
0.056486606,,0.088001113,0.079481812,0.079481812,0.079481812,0.080025002,0.080025002,0.080025002,0.080025002,0.080025002
0.0420539,,0.07360954,0.065642372,0.065642372,0.065642372,0.066138259,0.066138259,0.066138259,0.066138259,0.066138259
0.087955717,,0.066997196,0.060208873,0.060208873,0.060208873,0.060734537,0.060734537,0.060734537,0.060734537,0.060734537
0.081132272,,0.059217968,0.076062727,0.076062727,0.076062727,0.076137262,0.076137262,0.076137262,0.076137262,0.076137262
0.418267777,,0.1556804,0.171583153,0.171583153,0.171583153,0.17185122,0.17185122,0.17185122,0.17185122,0.17185122
0.043679874,,0.059606929,0.056897131,0.056897131,0.056897131,0.05732855,0.05732855,0.05732855,0.05732855,0.05732855
0.066808251,,0.059217968,0.076062727,0.076062727,0.076062727,0.076137262,0.076137262,0.076137262,0.076137262,0.076137262
0.059498937,,0.055328354,0.062930499,0.062930499,0.062930499,0.063159651,0.063159651,0.063159651,0.063159651,0.063159651
