,,predicted y using no of features according to heatmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.046980156,,0.042659487,0.041110508,0.05055492,0.033013755,0.037364281,0.041292246,0.041198089,0.104116564,0.104116564
0.136728161,,0.071199049,0.079128129,0.109263518,0.114588484,0.11524785,0.116339129,0.116636044,0.122661565,0.122661565
0.038831203,,0.210760331,0.080787613,0.060422741,0.05456432,0.052944621,0.051689022,0.051164502,0.055633554,0.055633554
0.049320633,,0.074779157,0.045766903,0.029914025,0.023794125,0.025970265,0.028226825,0.027928033,0.036891774,0.036891774
0.048562099,,0.071199049,0.073600212,0.065844799,0.058028156,0.057662266,0.05365083,0.053338964,0.050185323,0.050185323
0.044832058,,0.210760331,0.080787613,0.060422741,0.053914621,0.052184426,0.050522291,0.050498298,0.055633554,0.055633554
0.065697229,,0.071199049,0.067236013,0.06583093,0.060842029,0.061874074,0.059860615,0.06077974,0.061808365,0.061808365
0.082283252,,0.072678522,0.093623683,0.074076199,0.068526937,0.072277304,0.070739756,0.070696956,0.076287714,0.076287714
0.09717251,,0.096396026,0.105511442,0.103886427,0.120350953,0.124826521,0.126740807,0.127004358,0.113302284,0.113302284
0.055603574,,0.07301617,0.074387859,0.059214487,0.054123359,0.055597169,0.053530332,0.054166451,0.056099063,0.056099063
0.024240345,,0.071199049,0.0419319,0.034731855,0.032763176,0.03055703,0.030779451,0.031222385,0.027772824,0.027772824
0.073329816,,0.079933169,0.074233271,0.096083447,0.096965902,0.085367893,0.085919711,0.084533585,0.094658146,0.094658146
0.069104602,,0.071199049,0.079128129,0.074513881,0.070635197,0.07779214,0.068918313,0.068810017,0.066900396,0.066900396
0.141988845,,0.071199049,0.079128129,0.120122918,0.125584194,0.122069388,0.125053969,0.122403003,0.128671868,0.128671868
0.057265863,,0.071199049,0.067236013,0.060504279,0.061991423,0.060329693,0.060878381,0.06135737,0.058314277,0.058314277
0.05453061,,0.07301617,0.074387859,0.053675603,0.052405739,0.05307568,0.054324032,0.054172744,0.055094084,0.055094084
0.069625009,,0.071199049,0.079128129,0.061207924,0.062147042,0.064168266,0.063396948,0.063559575,0.069818397,0.069818397
0.102152507,,0.074779157,0.097525064,0.100292856,0.090180919,0.087190246,0.089136493,0.092007308,0.098151497,0.098151497
0.047506363,,0.036691245,0.039824432,0.042363468,0.044845102,0.039018717,0.055045923,0.054395589,0.043920045,0.043920045
0.046237484,,0.036691245,0.045680639,0.039611087,0.030771533,0.033075592,0.037801085,0.037699942,0.040344656,0.040344656
0.038101356,,0.037447616,0.041613825,0.040349297,0.045904721,0.03767075,0.034530358,0.034570859,0.039661379,0.039661379
0.056486606,,0.07301617,0.074387859,0.059494511,0.05512561,0.05469857,0.05662187,0.057002155,0.058310327,0.058310327
0.0420539,,0.038080079,0.035305591,0.039918103,0.038232429,0.036224547,0.033317486,0.034584049,0.044494308,0.044494308
0.087955717,,0.096396026,0.105511442,0.10138451,0.091008907,0.097561056,0.099661557,0.099260696,0.092148439,0.092148439
0.081132272,,0.061699796,0.067130442,0.073985026,0.077305592,0.069245364,0.072691686,0.074175452,0.067663966,0.067663966
0.418267777,,0.210760331,0.382571031,0.402194042,0.4194125,0.412606718,0.41728264,0.417087735,0.401642183,0.401642183
0.043679874,,0.042659487,0.046314177,0.053620019,0.101182941,0.092421005,0.09264533,0.093984344,0.076500567,0.076500567
0.066808251,,0.061699796,0.067130442,0.065890913,0.071472121,0.063850882,0.070358076,0.071795615,0.066095767,0.066095767
0.059498937,,0.071199049,0.067236013,0.069453829,0.062280911,0.06135709,0.063071929,0.0637015,0.058904553,0.058904553
0.092415479,,0.071199049,0.083221674,0.099673717,0.095082694,0.088889956,0.088108565,0.088514885,0.078783209,0.078783209
0.082016942,,0.071199049,0.079128129,0.071032887,0.076380645,0.075204273,0.086854039,0.087219664,0.091653936,0.091653936
0.135140116,,0.071199049,0.083221674,0.100182444,0.097554891,0.097260562,0.100209816,0.100377198,0.103435233,0.103435233
0.047389207,,0.045414566,0.047555184,0.064152796,0.061853307,0.066400623,0.072261481,0.071754835,0.061572054,0.061572054
0.049431838,,0.036691245,0.039824432,0.040956149,0.044062642,0.038633881,0.035818252,0.035702706,0.044460507,0.044460507
0.064188508,,0.071199049,0.067236013,0.059598899,0.059824654,0.060242472,0.05940016,0.060264369,0.061549339,0.061549339
