,,predicted y using no of features in heatmap,,,,,,,,
actual y test,no of variable,1,2,3,4,5,6,7,8,predicted y using all features
0.046980156,,0.055063497,0.046937952,0.061588973,0.063617518,0.067278169,0.063232756,0.062172218,0.055722537,0.055722537
0.136728161,,0.048039409,0.050998474,0.050530086,0.051767789,0.053189898,0.056402693,0.05604635,0.053354702,0.053354702
0.038831203,,0.14754733,0.128083992,0.12903216,0.13235319,0.130765051,0.129591928,0.128556131,0.133470202,0.133470202
0.049320633,,0.08198917,0.067572533,0.065320105,0.058226276,0.051046916,0.051049777,0.051665838,0.05537933,0.05537933
0.048562099,,0.048039409,0.049084041,0.046677606,0.049174865,0.049588106,0.046968135,0.046124773,0.04705146,0.04705146
0.044832058,,0.14754733,0.128083992,0.128794593,0.132005383,0.130430527,0.129255244,0.128226442,0.131965459,0.131965459
0.065697229,,0.048039409,0.0601504,0.056962892,0.058763207,0.059417743,0.063768914,0.063527468,0.062220654,0.062220654
0.082283252,,0.052136794,0.145813796,0.140723184,0.138884156,0.141156783,0.138637448,0.138152071,0.129944279,0.129944279
0.09717251,,0.06559963,0.054785179,0.06278806,0.065645114,0.067436992,0.071825843,0.071665086,0.079797608,0.079797608
0.055603574,,0.097208029,0.083635911,0.08330959,0.086694121,0.085733517,0.089850652,0.090283198,0.098057264,0.098057264
0.024240345,,0.048039409,0.03903093,0.036704099,0.025632292,0.026956529,0.022454072,0.022130913,0.017082796,0.017082796
0.073329816,,0.112426887,0.097210526,0.12022168,0.12158717,0.125889092,0.123745002,0.121837146,0.132838438,0.132838438
0.069104602,,0.048039409,0.050998474,0.048789011,0.050860336,0.051533601,0.055483333,0.055178301,0.055244581,0.055244581
0.141988845,,0.048039409,0.050998474,0.051327401,0.052797416,0.054245912,0.054390383,0.053770494,0.05117132,0.05117132
0.057265863,,0.048039409,0.0601504,0.057076794,0.05904974,0.059636165,0.063117311,0.06279872,0.061279442,0.061279442
0.05453061,,0.097208029,0.083635911,0.083146872,0.086476508,0.085505844,0.088999045,0.089386287,0.096389314,0.096389314
0.069625009,,0.048039409,0.050998474,0.048203229,0.050047483,0.050730431,0.05392801,0.053579077,0.054599998,0.054599998
0.102152507,,0.081403829,0.170024146,0.164227003,0.162605111,0.164021748,0.162412172,0.162475187,0.160520435,0.160520435
0.047506363,,0.062672927,0.051761798,0.049530115,0.044525135,0.044644406,0.044526602,0.044500432,0.043469204,0.043469204
0.046237484,,0.062672927,0.051659073,0.049369421,0.045802561,0.045500658,0.050665894,0.050998787,0.054585202,0.054585202
0.038101356,,0.060916905,0.050211121,0.047976805,0.042842738,0.043159284,0.047267576,0.04755149,0.04492822,0.04492822
0.056486606,,0.097208029,0.083635911,0.083277046,0.086647876,0.085686896,0.08843426,0.088758624,0.096356529,0.096356529
0.0420539,,0.075550422,0.06285794,0.065375959,0.068769726,0.068781486,0.070325624,0.070161088,0.075394675,0.075394675
0.087955717,,0.06559963,0.054785179,0.057906542,0.061161256,0.061853405,0.066207254,0.066093743,0.073906432,0.073906432
0.081132272,,0.053892816,0.08072818,0.08526665,0.086489685,0.088760429,0.085210244,0.084368314,0.088461317,0.088461317
0.418267777,,0.199057313,0.224391732,0.228573573,0.227518378,0.227528861,0.230471264,0.232622071,0.23693006,0.23693006
0.043679874,,0.054478157,0.050161209,0.069715526,0.070680767,0.075800777,0.077636543,0.077012978,0.048082527,0.048082527
0.066808251,,0.053892816,0.08072818,0.08770741,0.088515672,0.091447595,0.08791415,0.087056422,0.081473647,0.081473647
0.059498937,,0.048039409,0.0601504,0.057337142,0.059081432,0.059833445,0.06319123,0.062867715,0.058964635,0.058964635
0.092415479,,0.048039409,0.043588216,0.041997202,0.043996183,0.044803225,0.041144902,0.040220944,0.042446616,0.042446616
0.082016942,,0.048039409,0.050998474,0.048512392,0.050328957,0.051082845,0.049589075,0.048863206,0.049519953,0.049519953
0.135140116,,0.048039409,0.043611563,0.04209796,0.044935827,0.045324678,0.043649807,0.042852276,0.051207421,0.051207421
0.047389207,,0.080818489,0.067211134,0.065019314,0.062864112,0.054460913,0.053465615,0.053763378,0.055065205,0.055065205
0.049431838,,0.062672927,0.051771137,0.04952746,0.044393425,0.044695269,0.0509768,0.051461874,0.051545432,0.051545432
0.064188508,,0.048039409,0.0601504,0.057206968,0.059025376,0.059715323,0.064068378,0.063823192,0.061806051,0.061806051
0.047747889,,0.097208029,0.083635911,0.082951612,0.086410933,0.085353686,0.089219454,0.089633743,0.097920825,0.097920825
0.029924749,,0.075550422,0.06285794,0.064985438,0.068211371,0.068238067,0.069778702,0.069625181,0.066404239,0.066404239
0.355423367,,0.159839485,0.210627263,0.21101704,0.208907774,0.209643687,0.211283489,0.212800876,0.21246275,0.21246275
0.03161232,,0.048039409,0.038946882,0.036659973,0.030595064,0.033885046,0.029419867,0.028777706,0.028192813,0.028192813
0.039966972,,0.051551453,0.043094171,0.054148356,0.056663313,0.059469974,0.055273189,0.054173033,0.053026633,0.053026633
0.037655386,,0.055063497,0.046937952,0.053453109,0.056205977,0.057984483,0.053880869,0.052897374,0.046164117,0.046164117
0.156855181,,0.048039409,0.063045397,0.069424284,0.071271326,0.073694854,0.069752477,0.093339987,0.107081947,0.107081947
0.03115753,,0.059746223,0.049041925,0.04671843,0.040044919,0.042226818,0.046293811,0.04658019,0.047146966,0.047146966
0.130471079,,0.149303352,0.226192157,0.221298027,0.219719192,0.219853374,0.220371772,0.221691642,0.223807185,0.223807185
0.024033342,,0.048039409,0.038876842,0.036569233,0.026321105,0.02901388,0.024519973,0.024112395,0.020311376,0.020311376
