,,predicted y using no of features according to heatmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.046980156,,0.05506372,0.046938232,0.059091179,0.058587674,0.057202759,0.052786691,0.051746387,0.056178361,0.056178361
0.136728161,,0.048039738,0.050998712,0.05106459,0.052725282,0.05549587,0.06253321,0.062022675,0.060177949,0.060177949
0.038831203,,0.147546151,0.128083245,0.126865014,0.132876435,0.13601335,0.129848584,0.128399432,0.120363881,0.120363881
0.049320633,,0.081988985,0.067572548,0.06489367,0.055426061,0.035440209,0.032428201,0.031984381,0.041380602,0.041380602
0.048562099,,0.048039738,0.049084301,0.047447033,0.051511721,0.05172378,0.048058852,0.046828669,0.043758154,0.043758154
0.044832058,,0.147546151,0.128083245,0.126666088,0.132572064,0.136081815,0.129872966,0.128442924,0.117912421,0.117912421
0.065697229,,0.048039738,0.060150531,0.0583236,0.061231692,0.06156921,0.070676944,0.069943293,0.068604429,0.068604429
0.082283252,,0.052137061,0.145812918,0.145752115,0.141453441,0.137540837,0.137624963,0.134176052,0.133287698,0.133287698
0.09717251,,0.065599693,0.054785358,0.061096757,0.063640067,0.062693821,0.071701096,0.071898896,0.096731432,0.096731432
0.055603574,,0.097207613,0.083635726,0.082371196,0.088134492,0.088293472,0.093955375,0.095044136,0.100905557,0.100905557
0.024240345,,0.048039738,0.039031308,0.03703885,0.0211914,0.034743819,0.026020178,0.02571699,0.026118633,0.026118633
0.073329816,,0.112426241,0.097210169,0.115184248,0.112395513,0.113185575,0.110366407,0.107741934,0.151933644,0.151933644
0.069104602,,0.048039738,0.050998712,0.049606711,0.052935507,0.053914393,0.062036611,0.061504958,0.061827771,0.061827771
0.141988845,,0.048039738,0.050998712,0.051732217,0.053542091,0.055440803,0.057149709,0.056267257,0.053676986,0.053676986
0.057265863,,0.048039738,0.060150531,0.058418975,0.061555724,0.06138438,0.068968905,0.06811557,0.065797348,0.065797348
0.05453061,,0.097207613,0.083635726,0.082234945,0.087956666,0.088277873,0.092802319,0.093833071,0.097661736,0.097661736
0.069625009,,0.048039738,0.050998712,0.049116209,0.05225155,0.054026416,0.060713417,0.060142645,0.061321664,0.061321664
0.102152507,,0.081403653,0.17002296,0.168708545,0.165334271,0.162783347,0.162787538,0.160370527,0.165509274,0.165509274
0.047506363,,0.062673034,0.051762015,0.049544482,0.042890794,0.049872476,0.04869336,0.048857075,0.049162026,0.049162026
0.046237484,,0.062673034,0.051659291,0.049388908,0.044890795,0.049354123,0.057656073,0.058240882,0.068624625,0.068624625
0.038101356,,0.060917039,0.050211357,0.048027226,0.041159351,0.048812866,0.05524706,0.055844863,0.055975854,0.055975854
0.056486606,,0.097207613,0.083635726,0.082343946,0.088094877,0.088294799,0.091514639,0.092459458,0.097147729,0.097147729
0.0420539,,0.075550335,0.062858017,0.064344953,0.069186262,0.067750008,0.07031352,0.070475062,0.077430695,0.077430695
0.087955717,,0.065599693,0.054785358,0.057009244,0.061345406,0.06072127,0.068951323,0.069151099,0.085668742,0.085668742
0.081132272,,0.053893056,0.080728064,0.085898337,0.085687466,0.082802817,0.079406935,0.077491721,0.096253216,0.096253216
0.418267777,,0.199055354,0.224389815,0.226967401,0.224911765,0.231208898,0.232334077,0.23536014,0.238978447,0.238978447
0.043679874,,0.054478388,0.050161452,0.066588959,0.063184206,0.062557782,0.069498038,0.069035621,0.042547239,0.042547239
0.066808251,,0.053893056,0.080728064,0.087942094,0.086513702,0.08406314,0.081045441,0.07916092,0.083202949,0.083202949
0.059498937,,0.048039738,0.060150531,0.058636976,0.061369643,0.061752848,0.069147361,0.068311077,0.061956429,0.061956429
0.092415479,,0.048039738,0.04358854,0.042403446,0.045681724,0.04803446,0.042365979,0.041266291,0.040844673,0.040844673
0.082016942,,0.048039738,0.050998712,0.049375085,0.052393156,0.054154521,0.052542083,0.051470949,0.049688943,0.049688943
0.135140116,,0.048039738,0.043611887,0.042492592,0.046998535,0.047012528,0.044920015,0.043906709,0.055610964,0.055610964
0.047389207,,0.080818321,0.067211155,0.064634977,0.062461672,0.034137411,0.029802995,0.028719953,0.026740338,0.026740338
0.049431838,,0.062673034,0.051771354,0.04954417,0.042701271,0.050543836,0.060753825,0.061642148,0.067998998,0.067998998
0.064188508,,0.048039738,0.060150531,0.058527975,0.061402893,0.061619643,0.070768072,0.070028751,0.067641743,0.067641743
0.047747889,,0.097207613,0.083635726,0.082071445,0.088034063,0.088122955,0.093288075,0.094345213,0.100436507,0.100436507
0.029924749,,0.075550335,0.062858017,0.064017952,0.068705826,0.06784557,0.070337263,0.070528254,0.060660574,0.060660574
0.355423367,,0.15983812,0.210625539,0.211698682,0.207908594,0.212495018,0.21371406,0.214917996,0.215521488,0.215521488
0.03161232,,0.048039738,0.038947261,0.036984704,0.028574786,0.047662503,0.039725894,0.039584518,0.041856508,0.041856508
0.039966972,,0.051551729,0.043094499,0.052275712,0.053356003,0.051569925,0.046512311,0.045344168,0.054567614,0.054567614
0.037655386,,0.05506372,0.046938232,0.052278658,0.054854769,0.053762401,0.048051829,0.047002334,0.037983677,0.037983677
0.156855181,,0.048039738,0.063045494,0.069350411,0.06989152,0.066932941,0.062864128,0.108395489,0.126257658,0.126257658
0.03115753,,0.059746375,0.049042176,0.046801425,0.037654998,0.054074478,0.060530904,0.061529233,0.06980186,0.06980186
0.130471079,,0.149302147,0.226190259,0.22409613,0.22155569,0.222695072,0.222906323,0.222919497,0.226048122,0.226048122
0.024033342,,0.048039738,0.038877222,0.036894393,0.022271329,0.041198307,0.032720547,0.032653624,0.034265205,0.034265205
0.09075725,,0.048039738,0.043611887,0.042369967,0.046241982,0.0475403,0.043209813,0.042132963,0.045392723,0.045392723
0.037204617,,0.147546151,0.128083245,0.126796888,0.132844464,0.135975119,0.129797603,0.128347865,0.11991886,0.11991886
0.067991016,,0.048039738,0.056321708,0.054331246,0.057273949,0.058449972,0.06127642,0.060308937,0.057485134,0.057485134
0.092972909,,0.105987591,0.099261446,0.098553861,0.103112135,0.105104815,0.099195208,0.096197561,0.096590302,0.096590302
0.059030503,,0.048039738,0.043611887,0.041647839,0.045702786,0.047306016,0.043188189,0.042146136,0.047951144,0.047951144
0.066592159,,0.048039738,0.060150531,0.0583781,0.061265999,0.061592343,0.07071056,0.069976517,0.068623813,0.068623813
0.093054132,,0.103060931,0.099828791,0.09897731,0.1026644,0.105613722,0.099842455,0.096735839,0.088786201,0.088786201
0.034526098,,0.05506372,0.046938232,0.058001176,0.05797492,0.056643111,0.052018787,0.050977504,0.043913186,0.043913186
0.085746873,,0.048039738,0.050998712,0.049797461,0.052218204,0.054710042,0.060184396,0.059574647,0.055733197,0.055733197
0.055545219,,0.048039738,0.056321708,0.053854369,0.057141267,0.058104597,0.061951989,0.061037806,0.060390011,0.060390011
0.032197722,,0.06442903,0.054022406,0.051587262,0.031287639,0.039649937,0.038433025,0.038941719,0.043222036,0.043222036
0.075921121,,0.052137061,0.145812918,0.145818878,0.141411303,0.137641007,0.137735242,0.134294155,0.128659458,0.128659458
0.113693676,,0.097207613,0.083635726,0.082439321,0.087972856,0.088430545,0.090775335,0.091681535,0.100843121,0.100843121
