,,predicted y using no of feature according to heatmap,,,,,,,,
actual y test,,using 1 features,2,3,4,5,6,7,8,using all features
0.046980156,,0.119454524,0.11178706,0.132318128,0.13244927,0.132205558,0.133118247,0.131147185,0.131423439,0.131423439
0.136728161,,0.120430413,0.116189787,0.119879258,0.123122675,0.12351439,0.130211263,0.129769009,0.131361157,0.131361157
0.038831203,,0.134510039,0.127143326,0.124184607,0.144265319,0.141520646,0.134763668,0.133133764,0.144935282,0.144935282
0.049320633,,0.096847498,0.118436749,0.119416006,0.120277848,0.123209545,0.125266176,0.1242419,0.126330802,0.126330802
0.048562099,,0.120430413,0.11580632,0.119442734,0.126924339,0.126671508,0.123479827,0.124053712,0.11964563,0.11964563
0.044832058,,0.134510039,0.127143326,0.123987125,0.144342701,0.141768643,0.134857042,0.13310903,0.142998763,0.142998763
0.065697229,,0.120430413,0.121793834,0.126522734,0.127846325,0.127764938,0.136620454,0.136131991,0.138275066,0.138275066
0.082283252,,0.119424144,0.172043764,0.163964652,0.166333851,0.168549287,0.173872752,0.174969657,0.177286231,0.177286231
0.09717251,,0.119438327,0.109212521,0.126123757,0.123060884,0.121577177,0.136302587,0.134838866,0.147212275,0.147212275
0.055603574,,0.087147162,0.132446706,0.1233982,0.129306515,0.123182602,0.132362158,0.129434416,0.134888846,0.134888846
0.024240345,,0.120430413,0.120099357,0.120361494,0.121771645,0.121649759,0.127190307,0.127010129,0.125875504,0.125875504
0.073329816,,0.150838729,0.143496848,0.164556188,0.153054472,0.147549767,0.148757258,0.148887173,0.170902731,0.170902731
0.069104602,,0.120430413,0.116189787,0.119996602,0.125661865,0.125679051,0.135152336,0.134696444,0.137427354,0.137427354
0.141988845,,0.120430413,0.116189787,0.120329375,0.123037143,0.12364847,0.120309005,0.120334614,0.120182063,0.120182063
0.057265863,,0.120430413,0.121793834,0.126422385,0.127947053,0.127927584,0.133046222,0.132696211,0.134719914,0.134719914
0.05453061,,0.087147162,0.132446706,0.123470067,0.129612273,0.123500359,0.129365887,0.126449921,0.131491966,0.131491966
0.069625009,,0.120430413,0.116189787,0.12044643,0.126191323,0.125875922,0.132044471,0.131718077,0.135024169,0.135024169
0.102152507,,0.098043694,0.176282272,0.171999168,0.170524179,0.168633798,0.16987265,0.167659163,0.177890615,0.177890615
0.047506363,,0.120030894,0.109896724,0.115205882,0.119354339,0.112692644,0.109452765,0.108547316,0.109843253,0.109843253
0.046237484,,0.120030894,0.109995012,0.115350957,0.12141606,0.114031836,0.129872785,0.128956029,0.132370116,0.132370116
0.038101356,,0.120052386,0.110364067,0.115432276,0.119260369,0.11290292,0.12373188,0.122859262,0.122055664,0.122055664
0.056486606,,0.087147162,0.132446706,0.123411441,0.129361503,0.123241433,0.125772614,0.122991006,0.129658026,0.129658026
0.0420539,,0.109330885,0.112939596,0.117552448,0.122495891,0.119949938,0.120703315,0.119112818,0.126192294,0.126192294
0.087955717,,0.119438327,0.109212521,0.117307552,0.122209023,0.121485178,0.135321751,0.133799926,0.143147648,0.143147648
0.081132272,,0.1193885,0.13791974,0.141357654,0.141363652,0.136824413,0.132811866,0.130343614,0.137044791,0.137044791
0.418267777,,0.37168021,0.383530745,0.374636351,0.37514418,0.373198907,0.373410698,0.372276557,0.372114406,0.372114406
0.043679874,,0.119414169,0.110215151,0.136623529,0.137058499,0.137323808,0.138601588,0.138392311,0.136133532,0.136133532
0.066808251,,0.1193885,0.13791974,0.145711419,0.144413874,0.139628197,0.136433388,0.134130442,0.133960586,0.133960586
0.059498937,,0.120430413,0.121793834,0.126216476,0.127404257,0.127429288,0.132127777,0.131781336,0.132208726,0.132208726
0.092415479,,0.120430413,0.116733534,0.118252242,0.126729848,0.125868385,0.12469815,0.12518871,0.120724865,0.120724865
0.082016942,,0.120430413,0.116189787,0.120180893,0.125687747,0.125523324,0.121102164,0.121542741,0.119697334,0.119697334
0.135140116,,0.120430413,0.11672261,0.118209252,0.128042462,0.127358067,0.12397738,0.124443774,0.130349873,0.130349873
0.047389207,,0.099242596,0.116950028,0.118525274,0.125266164,0.127221607,0.127328907,0.12659415,0.123304209,0.123304209
0.049431838,,0.120030894,0.109887863,0.115220073,0.119182437,0.112832199,0.134798008,0.134052913,0.133167719,0.133167719
0.064188508,,0.120430413,0.121793834,0.126315385,0.127616675,0.127615781,0.136554265,0.136059616,0.137773054,0.137773054
0.047747889,,0.087147162,0.132446706,0.123575301,0.130383666,0.124239486,0.131649658,0.128685054,0.134618212,0.134618212
