c(kg),Dgr,d/R,i,Fr
0.073,13.2423353,0.011276596,0.018,5.477196754
0.019,13.2423353,0.011276596,0.013,4.388356435
0.46,13.2423353,0.012325581,0.023,8.501753195
0.09,13.2423353,0.011777778,0.022,7.049966103
0.151,13.2423353,0.008153846,0.019,9.524603191
0.044,13.2423353,0.008412698,0.014,6.928983845
0.039,13.2423353,0.00828125,0.019,8.237791905
0.059,24.82739775,0.02173913,0.015,4.203456339
0.043,24.82739775,0.021276596,0.015,3.40318292
0.394,24.82739775,0.023809524,0.022,6.418354487
0.128,24.82739775,0.022222222,0.019,5.221986144
0.202,24.82739775,0.015384615,0.019,6.919535819
0.033,24.82739775,0.015625,0.017,4.906726919
0.031,24.82739775,0.015625,0.019,5.626164638
0.063,49.97107661,0.042553191,0.017,2.881839028
0.041,49.97107661,0.042553191,0.015,2.326985934
0.392,49.97107661,0.047619048,0.021,4.461471816
0.208,49.97107661,0.044444444,0.019,3.657501007
0.312,49.97107661,0.030769231,0.019,4.840810156
0.087,49.97107661,0.03125,0.017,3.431030356
0.089,49.97107661,0.031746032,0.017,4.019854047
0.073,72.60964742,0.061702128,0.017,2.306065342
0.033,72.60964742,0.061702128,0.016,1.982653739
0.65,72.60964742,0.069047619,0.021,3.721576995
0.282,72.60964742,0.064444444,0.021,3.023195418
0.13,72.60964742,0.044615385,0.017,2.887268802
0.126,72.60964742,0.0453125,0.019,3.304422899
0.075,139.0334274,0.12173913,0.017,1.759204846
0.664,139.0334274,0.133333333,0.023,2.70883387
0.329,139.0334274,0.124444444,0.021,2.220355631
0.214,139.0334274,0.086153846,0.017,2.066638703
0.326,139.0334274,0.0875,0.02,2.363824764
0.071,210.7548514,0.178723404,0.015,1.479795425
0.838,210.7548514,0.195348837,0.022,2.141447926
0.407,210.7548514,0.186666667,0.021,1.770812708
0.133,210.7548514,0.129230769,0.017,1.680212988
0.296,210.7548514,0.129230769,0.02,1.927303133
0.01,13.2423353,0.006625,0.012,5.532188689
0.033,13.2423353,0.00654321,0.013,7.577888682
0.007,13.2423353,0.006162791,0.018,5.015264498
0.017,24.82739775,0.0125,0.011,4.154954919
0.035,24.82739775,0.0125,0.014,5.456409671
0.013,24.82739775,0.011627907,0.018,3.653773587
0.026,49.97107661,0.025,0.012,2.785589002
0.097,49.97107661,0.025,0.015,3.7424275
0.011,49.97107661,0.023255814,0.017,2.547794819
0.029,72.60964742,0.03625,0.012,2.320126716
